Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
   18,    1,   18,    1,  0.563776,    1,   0.014,   0.002,   0.000,   0.000,   0.000,   0.000,   0.019,   0.014,   0.425,   0.254,   0.152,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.013,   0.008,   0.000,   0.000,   0.046,   0.002,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.006,   0.038
   19,    1,   19,    1,  0.816140,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.460,   0.135,   0.178,   0.000,   0.070,   0.000,   0.000,   0.097,   0.000,   0.000,   0.041,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.019,   0.000,   0.000,   0.000,   0.000,   0.000
   20,    1,   20,    1,  0.620657,    1,   0.000,   0.000,   0.043,   0.025,   0.118,   0.000,   0.192,   0.596,   0.000,   0.000,   0.012,   0.012,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   21,    1,   21,    1,  0.022865,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.038,   0.591,   0.024,   0.005,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.003,   0.046,   0.005,   0.000,   0.032,   0.067,   0.003,   0.081,   0.083,   0.022,   0.000
   22,    1,   22,    1,  0.903420,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.130,   0.248,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.104,   0.000,   0.000,   0.000,   0.000,   0.030,   0.074,   0.111,   0.000,   0.148,   0.156,   0.000
   23,    1,   23,    1,  0.314128,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.087,   0.209,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.061,   0.000,   0.000,   0.000,   0.000,   0.104,   0.096,   0.200,   0.139,   0.087,   0.017,   0.000
   24,    1,   24,    1,  0.136147,    1,   0.000,   0.003,   0.101,   0.034,   0.012,   0.024,   0.000,   0.000,   0.005,   0.008,   0.016,   0.009,   0.023,   0.000,   0.019,   0.000,   0.000,   0.000,   0.000,   0.000,   0.007,   0.101,   0.058,   0.052,   0.101,   0.016,   0.113,   0.101,   0.053,   0.003,   0.143
   25,    1,   25,    1,  0.181715,    1,   0.012,   0.000,   0.000,   0.045,   0.000,   0.010,   0.000,   0.000,   0.016,   0.045,   0.000,   0.018,   0.014,   0.000,   0.000,   0.000,   0.500,   0.057,   0.000,   0.000,   0.211,   0.062,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   26,    1,   26,    1,  0.089224,    1,   0.002,   0.062,   0.004,   0.107,   0.005,   0.030,   0.000,   0.002,   0.027,   0.036,   0.000,   0.029,   0.000,   0.000,   0.004,   0.004,   0.446,   0.054,   0.000,   0.000,   0.162,   0.027,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   27,    1,   27,    1,  0.730670,    1,   0.104,   0.157,   0.017,   0.001,   0.000,   0.000,   0.000,   0.000,   0.150,   0.028,   0.000,   0.000,   0.033,   0.044,   0.000,   0.000,   0.000,   0.122,   0.007,   0.045,   0.074,   0.000,   0.000,   0.001,   0.000,   0.000,   0.218,   0.000,   0.001,   0.000,   0.000
   28,    1,   28,    1,  0.985219,    1,   0.000,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.026,   0.008,   0.030,   0.155,   0.300,   0.011,   0.000,   0.001,   0.000,   0.001,   0.000,   0.000,   0.000,   0.001,   0.000,   0.063,   0.212,   0.002,   0.000,   0.000,   0.000,   0.032,   0.148,   0.004
   29,    1,   29,    1,  0.258032,    1,   0.031,   0.000,   0.000,   0.335,   0.079,   0.003,   0.003,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.013,   0.166,   0.064,   0.141,   0.008,   0.033,   0.069,   0.049,   0.000,   0.008
   30,    1,   30,    1,  0.664541,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.078,   0.271,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.056,   0.000,   0.000,   0.000,   0.000,   0.000,   0.065,   0.152,   0.238,   0.140,   0.000,   0.000
   31,    1,   31,    1,  0.981957,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.087,   0.209,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.061,   0.000,   0.000,   0.000,   0.000,   0.104,   0.096,   0.200,   0.139,   0.087,   0.017,   0.000
   32,    1,   32,    1,  0.917097,    1,   0.020,   0.025,   0.015,   0.050,   0.000,   0.000,   0.373,   0.000,   0.100,   0.005,   0.000,   0.000,   0.000,   0.000,   0.164,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.015,   0.085,   0.000,   0.075,   0.030,   0.000,   0.000,   0.015,   0.030,   0.000
   33,    1,   33,    1,  0.577488,    1,   0.000,   0.000,   0.000,   0.000,   0.133,   0.000,   0.000,   0.000,   0.183,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.250,   0.150,   0.000,   0.200,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.083,   0.000
   34,    1,   34,    1,  0.886226,    1,   0.022,   0.002,   0.000,   0.098,   0.051,   0.034,   0.003,   0.004,   0.004,   0.002,   0.004,   0.003,   0.002,   0.001,   0.001,   0.003,   0.002,   0.002,   0.001,   0.000,   0.000,   0.021,   0.144,   0.114,   0.074,   0.068,   0.079,   0.123,   0.059,   0.035,   0.043
   35,    1,   35,    1,  0.675213,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.035,   0.009,   0.050,   0.406,   0.148,   0.003,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.003,   0.000,   0.128,   0.140,   0.001,   0.000,   0.000,   0.000,   0.067,   0.010,   0.000
   36,    1,   36,    1,  0.951148,    1,   0.000,   0.004,   0.000,   0.000,   0.000,   0.000,   0.000,   0.039,   0.009,   0.020,   0.297,   0.284,   0.022,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.104,   0.192,   0.000,   0.000,   0.000,   0.000,   0.004,   0.023,   0.000
   37,    1,   37,    1,  0.979061,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.959,   0.000,   0.041,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
