Soils_Code	Soil_Component	Soil_Component_Fraction	Soil_Horizon	Soil_Top_Depth	Soil_Bottom_Depth	Available_Water_Content	Hydrologic_Soil_Group_HWB
65	1	1	3	33	62	0.11	2
65	1	1	4	62	70	0.06	2
66	1	1	1	0	10	0.06	2
66	1	1	2	10	33	0.08	2
66	1	1	3	33	62	0.11	2
66	1	1	4	62	70	0.06	2
67	1	1	1	0	10	0.08	2
67	1	1	2	10	33	0.08	2
67	1	1	3	33	62	0.11	2
67	1	1	4	62	70	0.08	2
68	1	1	1	0	10	0.09	2
68	1	1	2	10	33	0.08	2
68	1	1	3	33	62	0.11	2
68	1	1	4	62	70	0.06	2
69	1	1	1	0	10	0.07	2
69	1	1	2	10	33	0.08	2
69	1	1	3	33	62	0.11	2
69	1	1	4	62	70	0.06	2
70	1	1	1	0	8	0.15	2
70	1	1	2	8	54	0.15	2
70	1	1	3	54	64	0	2
71	1	1	1	0	8	0.15	2
71	1	1	2	8	54	0.15	2
71	1	1	3	54	64	0	2
72	1	1	1	0	8	0.08	2
72	1	1	2	8	54	0.15	2
72	1	1	3	54	64	0	2
73	1	0.8	1	0	8	0.15	2
73	1	0.8	2	8	54	0.15	2
73	1	0.8	3	54	64	0	2
73	2	0.2	1	0	60	0	4
74	1	1	1	0	13	0.15	2
74	1	1	2	13	36	0.15	2
74	1	1	3	36	60	0.1	2
75	1	1	1	0	13	0.15	2
75	1	1	2	13	36	0.15	2
75	1	1	3	36	60	0.1	2
76	1	1	1	0	13	0.09	2
76	1	1	2	13	36	0.15	2
76	1	1	3	36	55	0.09	2
76	1	1	4	55	65	0	2
77	1	1	1	0	15	0.11	2
77	1	1	2	15	31	0.11	2
77	1	1	3	31	60	0.12	2
78	1	1	1	0	15	0.11	2
78	1	1	2	15	31	0.11	2
78	1	1	3	31	60	0.12	2
79	1	1	1	0	15	0.11	2
79	1	1	2	15	31	0.11	2
79	1	1	3	31	60	0.12	2
80	1	1	1	0	10	0.1	2
80	1	1	2	10	24	0.09	2
80	1	1	3	24	40	0.09	2
80	1	1	4	40	48	0.03	2
81	1	1	1	0	10	0.09	2
81	1	1	2	10	24	0.09	2
81	1	1	3	24	40	0.09	2
81	1	1	4	40	48	0.03	2
82	1	1	1	0	10	0.1	2
82	1	1	2	10	24	0.09	2
82	1	1	3	24	40	0.09	2
82	1	1	4	40	48	0.03	2
83	1	0.5	1	0	4	0.18	2
83	1	0.5	2	4	23	0.18	2
83	1	0.5	3	23	44	0.16	2
83	1	0.5	4	44	60	0.03	2
83	2	0.5	1	0	5	0.09	3
83	2	0.5	2	5	10	0.09	3
83	2	0.5	3	10	14	0	3
84	1	1	1	0	3	0.13	1
84	1	1	2	3	60	0.02	1
85	1	1	1	0	9	0.1	3
85	1	1	2	9	37	0.08	3
85	1	1	3	37	60	0.1	3
86	1	1	1	0	9	0.1	3
86	1	1	2	9	37	0.08	3
86	1	1	3	37	60	0.1	3
87	1	1	1	0	15	0.12	2
87	1	1	2	15	72	0.12	2
88	1	1	1	0	15	0.12	2
88	1	1	2	15	72	0.12	2
89	1	1	1	0	15	0.12	2
89	1	1	2	15	72	0.12	2
90	1	1	1	0	11	0.1	2
90	1	1	2	11	40	0.1	2
90	1	1	3	40	52	0.1	2
90	1	1	4	52	60	0	2
91	1	1	1	0	6	0.08	2
91	1	1	2	6	43	0.12	2
91	1	1	3	43	60	0.02	2
92	1	1	1	0	6	0.09	2
92	1	1	2	6	43	0.12	2
92	1	1	3	43	60	0.02	2
93	1	1	1	0	10	0.11	3
93	1	1	2	10	37	0.11	3
93	1	1	3	37	60	0.11	3
94	1	1	1	0	13	0.13	2
